id,transliteration,translation
13303,šamallû,'purse-bearer'
13304,šamallûtu,position of merchant's assistant
13305,šamallûtu,apprenticeship
13306,šamaššammū,sesame
13307,šambaliltu,fenugreek
13308,šamhatu,prostitute
13309,šamhatu,voluptuous
13310,šamhiš,proudly
13311,šamhu,luxuriant
13312,šamhu,lush
13313,šamiātu,rain
13314,šamkānu,servant
13315,šammahu,very prosperous
13316,šammaru,very furious
13317,šammu,plant(s)
13318,šammu,grass
13319,šammu,herb
13320,šammu,emery
13321,šammāhu,large intestine
13322,šammāhu,paunch
13323,šamnu,oil
13324,šamnu,fat
13325,šamnu,cream
13326,šamriš,furiously
13327,šamriš,impetuously
13328,šamru,furious
13329,šamru,impetuous
13330,šamrû,fattened
13331,šamû,sky
13332,šamû,heaven
13333,šamû,rain
13334,šamādu,are attached
13335,šamāhu,to grow
13336,šamāhu,flourish
13337,šamāhu,be magnificent
13338,šamāhu,to break an agreement
13339,šamāmiš,to heaven
13340,šamāmu,to injure
13341,šamāmū,heavens
13342,šamāru,to rage
13343,šamāru,be furious
13344,šamāru,to gloat
13345,šamātu,to mark (with sign of ownership)
13346,šamātu,brand
13347,šamāyû,heavenly
13348,šamāyû,from heaven
13349,šamāṭu,to tear away
13350,šamāṭu,tear down
13351,šamāṭu,to be sunken
13352,šamāṭu,flattened
13353,šamšatu,(sun-)disc
13354,šamšiš,like the sun
13355,šamšu,sun
13356,šamšu,sun-god
13357,šamšu,(sun-)disc
13358,šamšu,gold
13359,šamūtu,rain
13360,šamūšu,second string (of lyre)
13361,šamṭu,torn loose
13362,šamṭû,weakened
13363,šanannu,chariot-archer
13364,šanassu,every year
13365,šanassu,annually
13366,šandabakku,chief accountant
13367,šandabakku,calculation table(t)
13368,šandabakkūtu,post of chief accountant
13369,šanduppu,ring
13370,šanduppû,son
13371,šangagallu,high priest
13372,šangû,priest
13373,šangû,temple manager
13374,šangûtu,priesthood
13375,šangûtu,post of šangû
13376,šaniānu,secondly
13377,šaniānu,for the second time
13378,šannunātu,presentation (of witnesses)
13379,šannā'u,hater
13380,šanukatu,princess
13381,šanukatu,queen
13382,šanîš,secondly
13383,šanîš,otherwise
13384,šanîš,or else
13385,šanû,second
13386,šanû,next
13387,šanû,(an)other
13388,šanû,to do twice
13389,šanû,do for a second time
13390,šanû,to be changed
13391,šanû,become different
13392,šanû,to run
13393,šanû,trot
13394,šanû,to sluice
13395,šanû,apply water to
13396,šanûti,a second time
13397,šanûtī-,for the second time
13398,šanā,two each
13399,šanā,two by two
13400,šanā'iyu,second
13401,šanā'iyu,of second rank
13402,šanā'iyu,size
13403,šanā'u,to block
13404,šanā'u,block off
13405,šanā'um,for a second time
13406,šanānu,to equal
13407,šanānu,rival
13408,šanāṣu,to sneer
13409,šanāṣu,scoff at
13410,šanītu,a second time
13411,šanītu,something other
13412,šanūdu,illustrious
13413,šanūdu,heroic
13414,šapartu,pledge
13415,šapattu,15th day of month
13416,šapiltu,lower (part)
13417,šapiltu,inner (part)
13418,šapiltu,the remainder
13419,šapiltu,rest
13420,šapiltu,second in rank
13421,šapiltu,assistant
13422,šapiltu,anvil-stone
13423,šapku,heaped up
13424,šapku,poured out
13425,šapliš,below
13426,šapliš,down(wards)
13427,šaplu,low(er)
13428,šaplu,lowly
13429,šaplu,underside
13430,šaplu,bottom
13431,šaplû,lower
13432,šaplāniš,underneath
13433,šaplāniš,below
13434,šaplānu,underneath
13435,šaplānu,beneath
13436,šaplānu,under
13437,šaplītu,lower part
13438,šaplītu,inside
13439,šappalu,low
13440,šappitu,treacherous
13441,šappu,bowl
13442,šapru,envoy
13443,šapru,messenger
13444,šapru,pledge
13445,šapru,thigh
13446,šaptu,lip
13447,šaptu,rim
13448,šaptû,open(ed up)
13449,šapû,padded
13450,šapû,thick
13451,šapû,to be dense
13452,šapû,thick
13453,šapû,loud
13454,šapû,to be silent
13455,šapû,to wrap up
13456,šapû,seal up
13457,šapû,dense
13458,šapāhu,to sprinkle
13459,šapāku,to heap up
13460,šapāku,pour on
13461,šapālu,to be(come) deep
13462,šapālu,low
13463,šapāpu,to move along
13464,šapāru,to send
13465,šapāru,send (a message)
13466,šapāru,write (to)
13467,šapātu,to be malicious
13468,šapātu,treacherous
13469,šapāṣu,to clasp
13470,šapāṣu,enfold
13471,šapāṣu,grip
13472,šapāṣu,twist
13473,šapāṭu,to give judgement
13474,šapāṭu,exercise authority
13475,šapāṭu,to inform strictly
13476,šapāṭu,reprimand
13477,šapīku,deposit
13478,šapšu,sun
13479,šapšāqu,constraint
13480,šapšāqu,hardship
13481,šapūlu,groin
13482,šapūlu,inner thigh
13483,šapṣu,recalcitrant
13484,šapṣu,obstinate
13485,šaqlu,weighed out
13486,šaqlu,scarce
13487,šaqummatu,(deathly) hush
13488,šaqummiš,quite silently
13489,šaqummu,quite silent
13490,šaqîš,high up
13491,šaqû,high
13492,šaqû,elevated
13493,šaqû,to be(come) high
13494,šaqû,elevated
13495,šaqû,to give to drink
13496,šaqû,irrigate
13497,šaqû,irrigated
13498,šaqālu,to weigh
13499,šaqālu,pay
13500,šaqālu,balance
13501,šaqālu,suspend
13502,šaqāru,to pierce
13503,šaqītu,irrigated land
13504,šarbašši,cushion
13505,šarbillu,storm
13506,šarbiš,like a chill rain
13507,šarbu,rainy season
13508,šarbu,cold
13509,šarbû,rabid
13510,šarbābiš,impotently
13511,šarbābu,impotence
13512,šargānu,mighty
13513,šarhiš,proudly
13514,šarhiš,splendidly
13515,šarhu,proud
13516,šarhu,splendid
13517,šarhītu,branded
13518,šarku,pus
13519,šarku,suppuration
13520,šarmu,lopped
13521,šarmu,trimmed
13522,šarpu,burning
13523,šarpu,with burn wounds
13524,šarqiš,secretly
13525,šarqiš,by stealth
13526,šarqu,stolen
13527,šarqūtu,theft
13528,šarrahu,very proud
13529,šarrahû,very proud
13530,šarrahūtu,bragging
13531,šarrakūtu,function of a šarraku
13532,šarratu,queen
13533,šarratūtu,queenship
13534,šarriqu,thieving
13535,šarriru,deferential
13536,šarriš,Trust-in-the-king
13537,šarru,king
13538,šarrāqiš,like a thief
13539,šarrāqiš,in secret
13540,šarrāqu,thief
13541,šarrāqāniš,like a thief
13542,šarrāqānu,the thief in a particular case
13543,šarrāqītu,female thief
13544,šarrāqūtu,theft
13545,šarrūtu,kingship
13546,šarrūtu,reign
13547,šarû,rich
13548,šarû,to be(come) rich
13549,šarûtu,richness
13550,šarûtu,wealth
13551,šarābu,to wander about
13552,šarāhu,to take pride in
13553,šarāhu,make splendid
13554,šarāhu,to pull up
13555,šarāhu,to mark
13556,šarāhu,brand
13557,šarāku,to present
13558,šarāku,give
13559,šarāku,to suppurate
13560,šarāku,discharge pus
13561,šarāmu,to trim
13562,šarāmu,peel off
13563,šarāpu,to burn
13564,šarāpu,burn away
13565,šarāqu,to steal
13566,šarāqu,to be ready
13567,šarāqu,to cook
13568,šarāru,to go ahead
13569,šarāṣu,to clutch
13570,šarāṣu,claw onto
13571,šarāṭu,to tear
13572,šarāṭu,shred
13573,šaršarānu,rebel
13574,šaršerru,red paste
13575,šarūriš,with brilliance
13576,šarūru,brilliance
13577,šarūru,ray
13578,šarūru,tendril
13579,šassukkatu,female accountant
13580,šassukku,accountant
13581,šassā'u,shouter
13582,šassā'u,wailer
13583,šassūru,womb
13584,šasû,to shout
13585,šasû,call (out)
13586,šasû,read (out)
13587,šatakku,a (kind of) hole
13588,šatammu,administrator
13589,šatammu,government auditor
13590,šatammūtu,post of šatammu
13591,šatpu,excavation
13592,šatpu,pit
13593,šatpu,hollow
13594,šatta,this year
13595,šatti,thereupon
13596,šatti,therefore
13597,šattišam,year by year
13598,šattišam,yearly
13599,šattu,year
13600,šattussu,yearly
13601,šatubbû,ardent desire
13602,šatumû,rain
13603,šatû,knotted
13604,šatû,woven
13605,šatû,to drink
13606,šatû,to knot together
13607,šatû,weave
13608,šatûtu,weaving
13609,šatāhu,to stretch out
13610,šatānu,to urinate
13611,šatāpu,to cut out
13612,šatāpu,hollow out
13613,šatāqu,to split
13614,šatāqu,crack (off)
13615,šawiru,ring
13616,šawirānu,ring-shaped
13617,šawû,roasted
13618,šawû,to roast
13619,šazamû,Zamuan (wine-jar)
13620,šazbussu,consignment
13621,šazbussu,delivery
13622,šazzuztu,representation
13623,šazzuztu,(business) representative
13624,šašallu,tendon of the hoof or heel
13625,šašallu,back
13626,šašappūtu,post of šašappum
13627,šašmiš,(in)to combat
13628,šašmu,(single) combat
13629,šaššantu,small sun disc
13630,šaššaṭu,plant
13631,šaššaṭu,drug for š.
13632,šaššumma,to forfeit
13633,šaššāniš,like the sun
13634,šaššāru,a saw
13635,šaššūtē-,for the sixth time
13636,šaṭpu,rescued
13637,šaṭru,written
13638,šaṭru,inscribed
13639,šaṭāpu,to preserve (life)
13640,šaṭāpu,rescue
13641,šaṭāru,(piece of) writing
13642,šaṭāru,copy
13643,šaṭāru,exemplar
13644,šaṭāru,written document
13645,šaṭāru,to write (down)
13646,šaṭāṭu,to rip open
13647,šaṭṭiru,eager to write
13648,še'ru,(pock-)marked
13649,še'tu,mattress
13650,še'tu,bolster
13651,še'u,barley
13652,še'u,grain
13653,še'urrû,winnowing shovel
13654,še'û,to seek (out)
13655,šebru,broken
13656,šebû,to be full (of = acc.)
13657,šebû,be replete
13658,šebû,satisfied (with)
13659,šebû,satisfied
13660,šebû,sated
13661,šebēru,to break
13662,šediš,six
13663,šedištu,group of six
13664,šedû,sprout
13665,šegunû,grain crop
13666,šegû,wild
13667,šegû,aggressive
13668,šegû,to be wild
13669,šegû,rave
13670,šeheru,morning
13671,šehlu,high water
13672,šehēqu,to sneeze
13673,šehṭu,jump
13674,šehṭu,attack
13675,šehṭu,(astronomical) rising
13676,šeleppû,turtle
13677,šeleppāyu,overseer of š.
13678,šeleppūtu,she-turtle
13679,šellitannu,authorized agent
13680,šelluhlūtu,status of a šiluhlu
13681,šelû,to be neglectful
13682,šelû,neglect
13683,šemmiu,that constantly hears
13684,šemmiu,listens
13685,šemû,to hear
13686,šendu,branded
13687,šendu,marked
13688,šepû,to ask
13689,šepû,question (s.o.)
13690,šer'u,furrow
13691,šer'ānu,vein
13692,šer'ānu,artery
13693,šer'ānu,ligament
13694,šer'ānu,tendon
13695,šer'ānu,nerve
13696,šerammuhhu,north
13697,šergû,adorned
13698,šeriktu,present
13699,šeriktu,grant
13700,šeriktu,offering
13701,šeriktu,dowry
13702,šerimtu,cutting
13703,šerimtu,weeding
13704,šerk-ilūtu,position
13705,šerk-ilūtu,status of temple oblate
13706,šerkatu,female temple oblate
13707,šerku,gift
13708,šerku,(part of) dowry
13709,šerku,temple oblate
13710,šerku,string
13711,šerkūtu,position of temple oblate
13712,šerqu,stolen goods
13713,šerru,(young) child
13714,šerû,to take refuge
13715,šerû,to lay down
13716,šerû,to redeem
13717,šeršerratu,chain
13718,šeršerratu,set of rings
13719,šeršeru,link (in chain)
13720,šerṭu,cloth strip
13721,šerṭu,rag
13722,šerṭu,tatter
13723,šettu,sin
13724,šettu,act of negligence
13725,šettūtu,sin
13726,šešgallu,big brother
13727,šešgallu,elder brother
13728,šešgallūtu,post of šešgallu
13729,šeššiš,sixfold
13730,šeššu,sixth
13731,šeššu,one-sixth
13732,šeššātu,with six (spokes or yoked animals)
13733,šeššīšu,six times
13734,šeṭû,wide open
13735,šeṭû,to spread out
13736,šeṭṭu,crime
13737,šeṭṭu,evil deed
13738,ši,of
13739,ši'ītu,neighbour (f.)
13740,šib'u,satisfaction
13741,šibbu,belt
13742,šibburratu,rue (Ruta)
13743,šibhu,deposit
13744,šibhu,layer
13745,šibirru,shepherd's staff
13746,šibirru,sceptre
13747,šibirtu,piece
13748,šibirtu,block
13749,šibittu,dill (Anethum)
13750,šibqātu,plan
13751,šibqū,scheme
13752,šibqū,plan
13753,šibqū,trick
13754,šibqū,plot
13755,šibsātu,anger
13756,šibsātu,angry rejection
13757,šibītu,suture
13758,šibītu,seam
13759,šibšu,tax on a field
13760,šibūbu,spark
13761,šibūbu,scintillation
13762,šibṭu,blow
13763,šibṭu,epidemic
13764,šidahu,healthy appearance
13765,šiddi-nārāya,riverbank dweller
13766,šiddu,side
13767,šiddu,edge
13768,šiddu,curtain
13769,šiduri,girl
13770,šigaru,(wooden) clamp
13771,šigiltu,misappropriation
13772,šigištu,slaughter
13773,šigištu,killing
13774,šigmiš,loudly
13775,šigmu,noise
13776,šigû,to enter (a temple) to (recite) š.
13777,šihhatu,disintegration
13778,šihhatu,flaking off
13779,šihiltu,filtered liquid
13780,šihittu,clearance of debts
13781,šihittu,fear
13782,šihlu,sifting(s)
13783,šihlu,second
13784,šihru,strap
13785,šihṭu,hide
13786,šihṭu,discard
13787,šikaru,beer
13788,šikaru,alcoholic drink
13789,šikinnu,fisherman who uses a š.
13790,šikintu,allocation
13791,šikittu,form
13792,šikittu,layout
13793,šikkatu,flask
13794,šikkatu,harrowed (land)
13795,šikkatu,tassel
13796,šikkatu,trimmings
13797,šikkatu,date palm fibre
13798,šikkatu,string of beads
13799,šikkû,mongoose
13800,šikkūtu,female mongoose
13801,šikkūtu,string of beads
13802,šiknat napišti,(things endowed with life =) living things
13803,šiknu,act of putting
13804,šiknu,setting
13805,šiknu,form
13806,šiknu,appearance
13807,šiknu,nature
13808,šiknu,deposit
13809,šiknu,sediment
13810,šikriš,for beer
13811,šikru,haft
13812,šikru,hilt
13813,šiktu,slag
13814,šikṣu,ulcer
13815,šikṣu,abscess
13816,šilhak,strong
13817,šiliptu,withdrawal
13818,šilittu,split piece
13819,šillannû,unashamed
13820,šillatu,impudence
13821,šillatu,shamelessness
13822,šillatu,booty
13823,šilpu,withdrawal
13824,šilpu,thing withdrawn
13825,šilqu,split piece
13826,šiltāhiš,like an arrow
13827,šiltāhu,arrow
13828,šiltāhānu,'arrow-man'
13829,šiluhlu,conscript
13830,šilûtu,neglect
13831,šilûtu,carelessness
13832,šilūtu,thrown-up material
13833,šilūtu,shot
13834,šimbizidû,antimony paste
13835,šimiššalû,(type of) box-tree
13836,šimmatu,paralysis
13837,šimmugallu,chief incantation-priest
13838,šimru,fennel
13839,šimtu,mark
13840,šimtu,token
13841,šimtu,colour
13842,šimtu,paint
13843,šimumaku,last testament
13844,šimumaku,will
13845,šimāhu,boxthorn
13846,šimānu,at the (right) time
13847,šimītān,(in the) evening
13848,šimṭu,plucked wool
13849,šina,they
13850,šina,those
13851,šina,these same
13852,šina,two
13853,šinahilu,second (rank
13854,šinahilu,class)
13855,šinahiluhli,person attached to the deputy
13856,šinahilūtu,office of š.
13857,šinamumma,double
13858,šinamumma,twice
13859,šinamuna,twice
13860,šinamuna,twofold
13861,šinamunu,deputy
13862,šinamunu,representative
13863,šinapšumma,to be false
13864,šinarpu,two-year-old
13865,šinatumma,to appeal against a verdict
13866,šinašan,both of the two
13867,šinašan,each of the two
13868,šinbiltu,spikenard
13869,šinbiltu,Nardus stricta
13870,šingu,village
13871,šingu,farmstead
13872,šini'tu,blockage
13873,šinintu,equality
13874,šinipu,two-thirds
13875,šinnatu,similarity
13876,šinnatu,equality (with = gen.)
13877,šinnu,tooth
13878,šinnû,two each
13879,šinnānu,toothed
13880,šinqātu,finger
13881,šintarpu,seven-year-old
13882,šintunnu,seventh
13883,šinuzza,horse trappings
13884,šināti,them
13885,šināti,those
13886,šināti,these same
13887,šinātina,those
13888,šinātina,these same
13889,šināšim,to them (f.)
13890,šinītu,alteration
13891,šinītu,dyed textile
13892,šinītu,(clay) roof-sealing
13893,šinīšu,twice
13894,šinšariu,twelfth
13895,šinšariu,one-twelfth
13896,šinšeret,twelve
13897,šinūnūtu,(type of) swallow
13898,šinṣu,taunting
13899,šinṣu,scoffing
13900,šipassu,clay sealing
13901,šipassu,sealed bulla
13902,šipirtu,message
13903,šipirtu,letter
13904,šipirtu,instruction
13905,šipku,heaping up
13906,šipku,pile
13907,šipku,storage
13908,šipku,casting
13909,šipku,formation
13910,šipkātu,heaping up
13911,šipkātu,storage
13912,šipkātu,stores
13913,šippu,red spot
13914,šippu,decoration on garments
13915,šipru,sending
13916,šipru,mission
13917,šipru,work
13918,šiprūtu,messengers
13919,šiprūtu,to leave as a pledge
13920,šiptu,incantation
13921,šiptu,spell
13922,šipāru,regulations
13923,šipāru,instructions
13924,šipāru,assembly
13925,šipšatu,(length of) wood
13926,šipšatu,beam
13927,šipṣu,obstinacy
13928,šipṣu,non-compliance
13929,šipṣu,force
13930,šipṭu,judgement
13931,šipṭu,verdict
13932,šipṭu,sentence
13933,šipṭu,threat
13934,šipṭu,strict order
13935,šipṭu,reprimand
13936,šiqdu,almond (tree)
13937,šiqdīu,of almond wood
13938,šiqittu,almond tree
13939,šiqlu,shekel
13940,šiqpu,trick
13941,šiqpu,stratagem
13942,šiqītu,irrigation
13943,šir'ānu,son
13944,širhānu,current
13945,širhānu,flood
13946,širinnatu,snaffle
13947,širinnatu,horse's bit
13948,širmu,vessel with the capacity of 1 sūtu
13949,širrahu,man
13950,širumma,to give corroborative testimony
13951,šisītu,cry
13952,šisītu,clamour
13953,šisītu,(hand/foot) joint
13954,šit'āru,variegated
13955,šit'āru,iridescent
13956,šitaddaru,Orion
13957,šitarhu,very proud
13958,šitarhu,splendid
13959,šitarqu,disappearance
13960,šitektumma,to manumit
13961,šitimgallu,master builder
13962,šitimmāhu,master builder
13963,šitiptu,excision
13964,šitlu,sprout
13965,šitlu,seedling
13966,šitluṭiš,triumphantly
13967,šitluṭu,triumphant
13968,šitmu,log of wood
13969,šitmuriš,wildly
13970,šitmuriš,passionately
13971,šitmuru,very wild
13972,šitmāru,very wild
13973,šitnuntu,combat
13974,šitnunu,combative
13975,šitpu,pit
13976,šitpu,excavation
13977,šitpuru,to outfit o.s.
13978,šitpuru,attire o.s. with
13979,šitpuṣu,quarrelsome
13980,šitpû,surging
13981,šitpû,flaring
13982,šitqu,split
13983,šitqu,crack
13984,šitqultu,opposition
13985,šitqultu,conjunction
13986,šitqultu,equinox
13987,šitqulu,sufficient
13988,šitruhu,very proud
13989,šitruhu,splendid
13990,šitrāhu,very proud
13991,šitrāhu,splendid
13992,šittu,sleep
13993,šittu,remnant
13994,šittu,remainder
13995,šittu,excrement
13996,šittān,two-thirds
13997,šitû,drinking
13998,šitūltu,discussion
13999,šitūltu,consultation
14000,šitūltu,deliberation
14001,šitūlu,deliberation
14002,šitūlu,consultation
14003,šiu,little
14004,šiwītu,evening
14005,šiyû,strength
14006,šizbu,milk
14007,šizbānu,milk-fed
14008,šizû,one-third cubit
14009,šiābu,to be(come) old
14010,šiāhu,to grow (tall)
14011,šiālu,to coat
14012,šiālu,smear
14013,šiāmu,to fix
14014,šiāmu,decree
14015,šiāmātu,purchased goods
14016,šiāmātu,commercial stock
14017,šiānu,to urinate
14018,šiāriš,in the morning
14019,šiāru,morning
14020,šiāti,(of) her
14021,šiāti,that
14022,šiāti,this same
14023,šiāš,to her
14024,šiāṣu,to decline
14025,šiāṣu,wane
14026,šiāṭu,to be(come) neglectful
14027,šišītu,skin
14028,šišītu,layer
14029,šišītu,film
14030,šiššat,one-sixth
14031,šiššu,silence
14032,šiššu,stillness
14033,šiṭirtu,writing
14034,šiṭirtu,document
14035,šiṭru,(piece of) writing
14036,šu,(he/it) of
14037,šu,who
14038,šu,whom
14039,šu,which
14040,šu''udu,to appeal to
14041,šu''udu,complain to
14042,šu''uru,hairy
14043,šu''uru,dirty
14044,šu''uru,soiled
14045,šu'illakku,to perform
14046,šu'ru,eyebrow
14047,šu'u,chick-pea
14048,šu'ātu,ewe
14049,šubarrû,(tax) exemption
14050,šubarrûtu,release
14051,šubarīu,from Subartu
14052,šubarīu,in the style of Subartu
14053,šubburu,broken
14054,šubbutu,to accommodate
14055,šube''û,to rush upon
14056,šubtu,seat
14057,šubtu,dwelling
14058,šubultinbi,young
14059,šubultu,ear
14060,šubultu,spike (of corn)
14061,šuburru,rump
14062,šuburru,bottom
14063,šubû,yellow š.
14064,šubû,slander
14065,šubû,satiety
14066,šubšulu,boiled
14067,šuddulu,very wide
14068,šuddulu,spacious
14069,šudlupu,sleepless
14070,šudlupu,troubled
14071,šudugultu,transferred property
14072,šudušīu,six-year-old
14073,šudūšu,six
14074,šugarruru,to roll
14075,šugguru,to cheat
14076,šugguru,lie
14077,šuginakku,barber
14078,šuginû,person in charge of š.
14079,šuglutu,very frightening
14080,šuglû,deported
14081,šugrû,basket
14082,šugummû,buzzing
14083,šugurru,roll
14084,šugû,old man
14085,šuh,on the subject of
14086,šuh,à propos
14087,šuharratu,deathly hush
14088,šuharriš,in silence
14089,šuharruru,silent
14090,šuharruru,to be deathly still
14091,šuhatinnū,(a type of) onion
14092,šuhattu,š. of the oven
14093,šuhharampašha,wet nurse's compensation
14094,šuhhelu,offcuts
14095,šuhhu,very long
14096,šuhhu,buttock
14097,šuhhu,stand
14098,šuhhu,trestle
14099,šuhhû,destroyed
14100,šuhhû,to remove
14101,šuhhû,to have (illicit) sexual intercourse
14102,šuhhû,to spoil
14103,šuhhû,ruin
14104,šuhnu,heat
14105,šuhrubtu,waste land
14106,šuhruru,to lay waste
14107,šuhruru,reduce to silence
14108,šuhrû,gleanings
14109,šuhtu,verdigris
14110,šuhtu,patina
14111,šuhtu,rust
14112,šuhummumu,deathly hush
14113,šuhurru,porous vessel
14114,šuhīnu,brazier
14115,šuhṭu,anger
14116,šukarumma,to give in exchange
14117,šukbusu,ramp
14118,šukkallu,(a court official)
14119,šukkallu,minister
14120,šukkallūtu,post of š.
14121,šukkultu,dregs
14122,šukkultu,scrapings
14123,šukkulu,to wipe down
14124,šukkulu,wipe out
14125,šukkuṣu,wild
14126,šukkû,to cleanse
14127,šukkû,to pray
14128,šuklultu,completion
14129,šuklultu,completeness
14130,šuklulu,complete
14131,šuklulu,perfect
14132,šuklulu,to complete
14133,šuklulu,make/do completely
14134,šuknušu,humble
14135,šukuddāku,(temple) fisherman
14136,šukuddākūtu,profession of temple fisherman
14137,šukudu,arrow
14138,šukudu,Sirius
14139,šukudu,sharp end of a spindle
14140,šukunnû,estimated yield
14141,šukunnû,cultivation agreement
14142,šukunnû,blasphemy
14143,šukunnû,false accusation
14144,šukurgallu,big lance
14145,šukurru,lance
14146,šukurru,spear
14147,šukuttu,adornment
14148,šukuttu,jewellery
14149,šukênu,to prostrate o.s.
14150,šukû,doorpost
14151,šukāmu,scribal art
14152,šukānu,ornament
14153,šukānu,jewellery
14154,šukūsu,subsistence (field)
14155,šul'u,small
14156,šulilanni,mankind
14157,šullu,(big) wart
14158,šullu,pockmark
14159,šullul,one-third (of a shekel)
14160,šullumtu,completion
14161,šullumtu,final payment
14162,šulluqu,(with) lacerated (ear)
14163,šullušiš,in thirds
14164,šullušu,trebled
14165,šullušu,tripled
14166,šullušu,threefold
14167,šullušu,one-third
14168,šullušu,one-third shares
14169,šullušû,made of or with (something) tripled
14170,šulluṭu,triumphant
14171,šullānu,pockmarked
14172,šullānu,wart-covered
14173,šulmu,completeness
14174,šulmu,well-being
14175,šulmāniš,in peace
14176,šulmānu,greeting-gift
14177,šulmānūtu,gift
14178,šulmānūtu,present
14179,šulpu,stalk
14180,šulpu,straw
14181,šulputu,defiled
14182,šulputu,ruined
14183,šuluhhatu,drizzle
14184,šuluhhu,purification rite
14185,šuluhtu,despatch
14186,šuluhtu,consignment
14187,šulultu,third
14188,šulummû,good condition
14189,šuluštu,one-third
14190,šulušā,three each
14191,šulušīu,three-year-old
14192,šulû,street
14193,šulû,lane
14194,šulāpu,knife blade
14195,šulšu,one-third
14196,šulūšā'u,threefold
14197,šum'uttu,(textual) addition
14198,šumamtu,parched grain
14199,šumerû,a Sumerian
14200,šumerû,(scribe in) Sumerian
14201,šumhu,luxuriance
14202,šumhu,plenty
14203,šumhurtu,oppositely
14204,šumišam,name by name
14205,šumkū,onions
14206,šumma,if
14207,šummaman,if
14208,šummannu,halter
14209,šummannu,tether
14210,šummannu,gift
14211,šummannu,present
14212,šummu,a šumma-clause
14213,šummu,law
14214,šummu,edict
14215,šummu,to ponder
14216,šummu,reflect
14217,šummuhu,very luxuriant
14218,šummunu,to be oiled
14219,šummunu,rubbed with oil
14220,šummuṭu,trimmed off
14221,šummuṭu,laid flat
14222,šummānu,defect
14223,šumquttu,adjustment
14224,šumquttu,deduction
14225,šumru,fury
14226,šumru,furiousness
14227,šumruṣu,very painful
14228,šumruṣu,suffering
14229,šumsuku,deprived
14230,šumu,name
14231,šumu,son
14232,šumu,line of text
14233,šumuttu,beetroot
14234,šumû,roast meat
14235,šumû,handle (of tool)
14236,šumû,name tag
14237,šumēla,on the left
14238,šumēlu,the left
14239,šumēlû,left-hand
14240,šumšû,to spend the night
14241,šumšû,do s.th. at night
14242,šumṣulu,to spend the day in rest
14243,šundu,when
14244,šundu,while
14245,šunnâtu,alteration
14246,šunnâtu,change
14247,šunnû,doubled
14248,šunu,they
14249,šunu,those
14250,šunu,these same
14251,šunu'tu,two(-animal) plough
14252,šunu'û,two-year-old
14253,šunû,theirs
14254,šunû,belonging to them
14255,šunû,chaste tree
14256,šunû,Vitex agnus castus
14257,šunā'a,two each
14258,šunātunu,those
14259,šunātunu,the same
14260,šunāšunu,to them
14261,šunī,they two
14262,šunīti,them two
14263,šunīti,those two
14264,šunīš,on them two
14265,šunūti,them
14266,šunūti,of them
14267,šunūti,those
14268,šunūti,these same
14269,šunūši,to them
14270,šuparruru,spread out
14271,šuparruru,to spread out
14272,šuparzuhu,to make abundant
14273,šupe''ilu,exchanged
14274,šupku,foundation
14275,šupku,substructure
14276,šuplu,depth
14277,šuppatu,rush
14278,šuppatu,sedge
14279,šuppuhu,to incite
14280,šuppulu,very deep
14281,šupêltu,exchange
14282,šupêlu,to exchange
14283,šupêlu,overturn
14284,šupû,thick
14285,šupû,padded
14286,šupālu,depression
14287,šupālu,low-lying area
14288,šupālu,below
14289,šupālu,beneath
14290,šupālû,lower
14291,šupālānu,lower or western border or district
14292,šupālītu,undergarment
14293,šupālītu,foundation
14294,šupšuhiš,in order to be peaceful
14295,šupšuqiš,very laboriously
14296,šupšuqiš,under difficult circumstances
14297,šupšuqtu,woman labouring (in childbirth)
14298,šupšuqu,very laborious
14299,šuqallulu,to hang (down)
14300,šuqammumu,silent
14301,šuqammumu,to be(come) silent
14302,šuqammumu,still
14303,šuqlu,packet
14304,šuqlu,load
14305,šuqlu,marsh
14306,šuqullālu,pendant
14307,šuqultu,weight
14308,šur'u,reins
14309,šurbatu,terror
14310,šurbu,cold
14311,šurbu'ītu,fourfold
14312,šurbû,very great
14313,šurbûtu,greatness
14314,šurbûtu,exaltedness
14315,šurdû,allowed to flow
14316,šurdû,leaking
14317,šurdûtu,inundation
14318,šurkubu,mounted
14319,šurmû,image
14320,šurmēnu,cypress
14321,šurpu,burning
14322,šurpu,incineration
14323,šurpītu,burning thirst
14324,šurqiš,secretly
14325,šurqiš,by stealth
14326,šurqu,theft
14327,šurqu,stolen goods
14328,šurru,to bow o.s. down
14329,šurru,bend forwards
14330,šurruhu,very proud
14331,šurruhu,splendid
14332,šurruhu,to drool
14333,šurruhu,dribble
14334,šurrumma,indeed
14335,šurrumma,certainly
14336,šurrumma,forthwith
14337,šurruṭu,torn up
14338,šurrâm,at first
14339,šurrâm,initially
14340,šurrâtu,start
14341,šurrâtu,beginning
14342,šurrû,start
14343,šurrû,beginning
14344,šurrû,to begin
14345,šurrû,start
14346,šurrû,inaugurate
14347,šurrû,to fast
14348,šurrû,stop eating
14349,šuruppû,frost
14350,šuruppû,cold fit
14351,šuruptu,burning
14352,šuruptu,combustion
14353,šuruptu,fuel
14354,šurāniš,like a cat
14355,šurānu,cat
14356,šurāṭu,strip of cloth
14357,šurīnu,(divine) emblem
14358,šurīnu,flour of š.
14359,šurīpiš,like ice
14360,šurīpu,ice
